Variable name
nsex
age_cat
nethrace
race_dicho
n14q7
sexor_dicho
eae_passive
eae_fam_men_ill
eae_emotional_neglect
eae_neglect
eae_violence
eae_sexual
fam_percep_b4_18
alc_init_age
nico_init_age
cann_init_age
not_alc_nico_cann_init_age
